"Client","Project","User","task","from ","to ","time zone","hours","decimal"
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/08/2019 12:03:33 PM","03/08/2019 12:46:31 PM","GMT 02:00",00:43,0.72
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/08/2019 03:01:11 PM","03/08/2019 03:28:03 PM","GMT 02:00",00:27,0.45
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/09/2019 02:31:52 PM","03/09/2019 02:41:02 PM","GMT 02:00",00:09,0.15
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/09/2019 02:51:21 PM","03/09/2019 03:25:11 PM","GMT 02:00",00:34,0.57
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/09/2019 06:37:26 PM","03/09/2019 07:16:47 PM","GMT 02:00",00:39,0.65
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 11:30:54 AM","03/10/2019 11:31:11 AM","GMT 02:00",00:00,0.00
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 11:42:23 AM","03/10/2019 12:15:23 PM","GMT 02:00",00:33,0.55
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 12:33:21 PM","03/10/2019 01:05:02 PM","GMT 02:00",00:32,0.53
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 03:28:22 PM","03/10/2019 03:28:31 PM","GMT 02:00",00:00,0.00
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 03:28:45 PM","03/10/2019 03:43:45 PM","GMT+02:00",00:15,0.25
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 03:28:53 PM","03/10/2019 03:38:59 PM","GMT 02:00",00:10,0.17
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 04:00:27 PM","03/10/2019 04:40:17 PM","GMT 02:00",00:40,0.67
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 04:55:39 PM","03/10/2019 05:28:09 PM","GMT 02:00",00:33,0.55
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 06:59:46 PM","03/10/2019 07:56:51 PM","GMT 02:00",00:57,0.95
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/10/2019 08:13:42 PM","03/10/2019 08:48:13 PM","GMT 02:00",00:35,0.58
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 10:32:56 AM","03/11/2019 11:12:48 AM","GMT 02:00",00:40,0.67
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 12:12:00 PM","03/11/2019 12:29:59 PM","GMT 02:00",00:18,0.30
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 12:41:36 PM","03/11/2019 01:03:33 PM","GMT 02:00",00:22,0.37
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 01:42:37 PM","03/11/2019 02:53:11 PM","GMT 02:00",01:11,1.18
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 04:08:39 PM","03/11/2019 05:01:13 PM","GMT 02:00",00:53,0.88
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 07:00:55 PM","03/11/2019 8:01:04 PM","GMT+02:00",01:01,1.02
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/11/2019 09:18:57 PM","03/11/2019 11:33:57 PM","GMT 02:00",02:15,2.25
"Sage Publishing","Intro to R webinar","mz zaloznik","prep","03/12/2019 10:22:56 AM","03/12/2019 12:30:27 PM","GMT 02:00",02:08,2.13
,,,,,,,15:35,15.59
